,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
55,是谁家半夜一点吃麻辣香锅？是我家,https://www.bilibili.com/video/BV1w3411878J,一只大毛毛阿,338058,236663,83,101,21926,0,51,435
56,泰国美食：路边摊上的肥美烤墨鱼肉厚弹嫩果木炭烤鲜香十足,https://www.bilibili.com/video/BV1NL411u744,小老虎的泰国行,331346,265470,378,314,14227,0,1346,792
57,非洲小哥工作很辛苦，今天请他吃黄豆焖猪蹄，估计以后再吃西马也不香了,https://www.bilibili.com/video/BV1af4y1T7mh,非洲飞哥,326912,187953,3647,5627,19043,0,228,715
58,郭老师口中的天津早点,https://www.bilibili.com/video/BV11P4y1L7ZH,天津の饭盆,323826,609824,67,38,16839,0,185,1016
59,无广厨具分享！哪些锅具能真正提升烹饪效果？,https://www.bilibili.com/video/BV1aL411u7BS,马蹄厨房,320447,206437,974,3886,10518,0,448,3615
60,【小泽】攻陷微软食堂：重大失误！低估了微软同学的干饭能力,https://www.bilibili.com/video/BV1YU4y1g7E9,钟文泽,311655,238788,2201,1397,12023,0,1037,945
61,万人血书【辣子鸡】，简单的菜最讲究，后半程“滑炒”技法理论加持，传统烹饪所追求的口味核心，如今谁还求索？大吉大利、今晚吃鸡！,https://www.bilibili.com/video/BV1yb4y187z9,师父和我做鲁菜,308600,107692,1258,10388,10383,0,620,3850
62,一套猪下水，一锅卤10斤，给老爸加餐被嫌弃，这是下酒菜大餐呀,https://www.bilibili.com/video/BV1iR4y1E7Ff,徐大sao,304885,235183,999,1835,13778,0,99,411
63,教你饭店的各类套路，这些东西千万别点，坑钱还损身体（上篇）,https://www.bilibili.com/video/BV1GP4y1j7js,快乐的苏胖,300560,1160953,1038,10393,56553,0,5370,14873
64,2分钟就能学会的 啤酒鸭 和鸡翅包饭？快叫你对象给你做！真的太好吃了,https://www.bilibili.com/video/BV1cR4y1t75t,努力的悉尼小猪猪,297370,187025,141,670,17643,0,170,1369
65,离谱了：600块一个的蛋挞 做出来是什么味道,https://www.bilibili.com/video/BV1Nv411M7eB,澳洲阿彭,289524,516336,2591,16744,51204,0,1206,6618
66,挑战100块在上海吃一个礼拜（第四季 第一天）#独居女孩的日常,https://www.bilibili.com/video/BV1HT4y197dK,派大林小小厨,283518,211887,67,158,10043,0,81,1784
67,3000块钱的花胶，胀发三天，做一只花胶鸡。审核看了都不舍得发出来。,https://www.bilibili.com/video/BV1nQ4y1S7GB,林述巍JACKLIN,280408,3117600,4769,80559,247125,0,2989,24233
68,由于香菜暂不方便加入肯德基豪华套餐，所以我们需要自己带一把,https://www.bilibili.com/video/BV1xL4y1q7JQ,午餐肉艺术家葛世贤,279175,205964,359,311,14634,0,181,434
69,上海最好吃的江西菜馆，令人回味的家乡美食。,https://www.bilibili.com/video/BV1Xf4y1u7HT,渣叔爱酒,273993,357522,2228,9373,40210,0,1205,2226
70,5块钱，做出罗恩梦寐以求的烤鸡腿！,https://www.bilibili.com/video/BV1ZQ4y1S7Ls,麟宣森,273574,132940,680,2537,18121,0,393,1872
71,探店广州唯一荣获米其林二星的西餐厅，服务员竟对我说下次一定！,https://www.bilibili.com/video/BV1Yf4y1T7MF,波靖仔,272867,157919,1549,2421,17862,0,91,790
72,大爷用帝王蟹包饺子，这辈子活得真值了,https://www.bilibili.com/video/BV1SQ4y1S7Pp,结巴老爹,268795,157007,999,2764,17039,0,312,589
73,今天我生日 吃顿潮汕火锅！,https://www.bilibili.com/video/BV1gr4y1y7j6,小傲想睡觉,267801,830268,19365,68269,121471,0,882,20675
74,今天是农师傅的生日，自己的生日宴只有简单但不失鲜美的三菜一汤,https://www.bilibili.com/video/BV1Zr4y1C7uL,主厨农国栋,265369,246652,2065,8638,23443,0,355,3171
75,海底捞员工说要给我拿个盆吃！！！不私藏了。      隐藏系列安排。,https://www.bilibili.com/video/BV1FL4y1z7hZ,少女爱丽丝-,264627,3346024,1197,12348,161076,0,31612,111846
76,当顶级金枪鱼遇上和牛，还没出锅就抢疯了,https://www.bilibili.com/video/BV1fQ4y1S7cB,Amoy硬邦帮,263349,137350,928,6514,12861,0,601,1485
77,峰哥挑战广西暗黑小吃，结局泪目,https://www.bilibili.com/video/BV13341187Vf,峰哥亡命天涯,258619,190902,3646,1578,10019,0,691,637
78,又辣又爱又想吃！双倍爆辣新疆炒米粉，绝绝子！,https://www.bilibili.com/video/BV1TR4y1t77w,张喜喜-,254574,167114,1620,2813,11795,0,306,899
79,鸡爪,https://www.bilibili.com/video/BV1xP4y1j7o8,小燕517,253121,202128,1221,210,10182,0,300,390
80,胖哥俩：让你模仿没让你超越,https://www.bilibili.com/video/BV1ku411o7vr,深夜小鱼干儿,249624,463142,92,3205,26307,0,2900,29602
81,有人歌颂爱与自由，有人吃鱼香个大跟头,https://www.bilibili.com/video/BV1HU4y1g7Kb,没煮熟的大鹅,248504,187644,487,968,10979,0,239,404
82,赖皮猴Vlog1:美食up主打卡减重一周，结果......,https://www.bilibili.com/video/BV1v44y1e7cw,赖皮猴爱美食,246911,134233,647,2266,14601,0,231,1218
